,weeks,intervals,word_size,window_size,n_bins,function,bop_accuracy,bop_recall,bop_precision,bop_f1,bop_pos-rate,bop_neg-rate,boss_accuracy,boss_recall,boss_precision,boss_f1,boss_pos-rate,boss_neg-rate,saxvsm_accuracy,saxvsm_recall,saxvsm_precision,saxvsm_f1,saxvsm_pos-rate,saxvsm_neg-rate
65,17,14,10,0.2,14,max,0.8487518355359764,0.15637860082304525,0.2669506360135372,0.19631076265146116,0.06950562897699462,0.9304943710230055,0.6123348017621146,0.6172839506172839,0.17675929694335094,0.274808087489514,0.41556534508076365,0.5844346549192365,0.6123348017621145,0.6213991769547326,0.17749248725608235,0.27609969436810045,0.41654429760156636,0.5834557023984336
66,17,14,10,0.5,10,avg,0.8379833578071464,0.16872427983539096,0.23809994227692358,0.19588509837291457,0.08321096426823299,0.9167890357317671,0.5447870778267254,0.6460905349794238,0.15710859349697825,0.2527143897321286,0.48996573666177196,0.5100342633382281,0.6470876162506118,0.551440329218107,0.1795669074544406,0.27088684793262424,0.36514929025942244,0.6348507097405776
67,17,14,10,0.5,10,count,0.8355359765051394,0.17695473251028804,0.24173480840147507,0.2036104017275294,0.08761625061184532,0.9123837493881547,0.22613803230543317,0.8888888888888888,0.12202719658847438,0.2145921960797026,0.8663729809104258,0.13362701908957417,0.6431718061674009,0.5555555555555556,0.17851921313661748,0.2701958784159495,0.3700440528634361,0.6299559471365639
68,17,14,10,0.5,10,max,0.8345570239843368,0.16049382716049382,0.22396925227113904,0.18568731052141632,0.0846793930494371,0.9153206069505629,0.6412139011257955,0.5761316872427983,0.18175471898277604,0.27629934304350817,0.37689672050905526,0.6231032794909447,0.6470876162506118,0.551440329218107,0.1795669074544406,0.27088684793262424,0.36514929025942244,0.6348507097405776
69,17,14,10,0.5,14,avg,0.8365149290259423,0.1646090534979424,0.23415775401069516,0.19248478226939283,0.08370044052863436,0.9162995594713657,0.61429270680372,0.5925925925925926,0.1729572157343714,0.2677203018385906,0.4077337249143416,0.5922662750856583,0.6465981399902104,0.551440329218107,0.17932713941607772,0.2706162800546944,0.36563876651982374,0.6343612334801763
70,17,14,10,0.5,14,count,0.8345570239843368,0.16872427983539096,0.22458228905597324,0.19090421359239063,0.08663729809104259,0.9133627019089575,0.2770435633871757,0.8724279835390947,0.1278509706979458,0.22301553835579258,0.8115516397454723,0.18844836025452763,0.6475770925110133,0.551440329218107,0.17981984678709195,0.27117170937631324,0.364659813999021,0.635340186000979
71,17,14,10,0.5,14,max,0.8355359765051396,0.1728395061728395,0.2372384499184876,0.19929732103645148,0.08663729809104258,0.9133627019089574,0.6485560450318159,0.551440329218107,0.18034011958692941,0.2717717474022859,0.3636808614782183,0.6363191385217818,0.6465981399902104,0.551440329218107,0.17932713941607772,0.2706162800546944,0.36563876651982374,0.6343612334801763
72,17,14,30,0.2,10,avg,0.8487518355359764,0.14403292181069957,0.25548710475181063,0.1835580877756676,0.06656877141458639,0.9334312285854135,0.6118453255017132,0.6172839506172839,0.17654055772256738,0.27454427406648413,0.41605482134116495,0.5839451786588351,0.6123348017621145,0.6213991769547326,0.17749248725608235,0.27609969436810045,0.41654429760156636,0.5834557023984336
73,17,14,30,0.2,10,count,0.8487518355359764,0.1646090534979424,0.27755102040816326,0.20614170621344222,0.0714635340186001,0.9285364659813999,0.3240332843857073,0.794238683127572,0.12661842514783692,0.21841583872040723,0.7459618208516887,0.2540381791483113,0.6123348017621145,0.6213991769547326,0.17749248725608235,0.27609969436810045,0.41654429760156636,0.5834557023984336
74,17,14,30,0.2,10,max,0.8458149779735683,0.13991769547325103,0.23964424951267058,0.1759943253787303,0.06852667645619187,0.9314733235438082,0.6123348017621145,0.6172839506172839,0.1767526624070508,0.2747984458554904,0.41556534508076365,0.5844346549192364,0.6128242780225159,0.6213991769547326,0.17770459194056584,0.2763538661571067,0.41605482134116495,0.5839451786588351
75,17,14,30,0.2,14,avg,0.8463044542339696,0.13991769547325103,0.24451417087076,0.17745043758681314,0.06803720019579051,0.9319627998042095,0.6123348017621145,0.6172839506172839,0.1767526624070508,0.2747984458554904,0.41556534508076365,0.5844346549192364,0.6123348017621145,0.6213991769547326,0.17749248725608235,0.27609969436810045,0.41654429760156636,0.5834557023984336
76,17,14,30,0.2,14,count,0.8433675966715614,0.15637860082304525,0.2509918510132689,0.19225118996262713,0.07488986784140969,0.9251101321585903,0.4512971120900637,0.7078189300411523,0.14071067017081462,0.23474627224627223,0.5981399902104748,0.40186000978952524,0.6123348017621145,0.6213991769547326,0.17749248725608235,0.27609969436810045,0.41654429760156636,0.5834557023984336
77,17,14,30,0.2,14,max,0.8433675966715614,0.14814814814814814,0.2391032579056441,0.18227535511926105,0.07293196279980421,0.9270680372001957,0.6123348017621145,0.6172839506172839,0.1767526624070508,0.2747984458554904,0.41556534508076365,0.5844346549192364,0.6128242780225159,0.6213991769547326,0.17770459194056584,0.2763538661571067,0.41605482134116495,0.5839451786588351
78,17,14,30,0.5,10,avg,0.8306412139011258,0.16049382716049382,0.21622647237401335,0.18310430042381257,0.08859520313264807,0.9114047968673519,0.648556045031816,0.551440329218107,0.1803364862442399,0.2717489176508165,0.3636808614782183,0.6363191385217816,0.6480665687714146,0.5473251028806584,0.17924506333830106,0.2700194125632569,0.36319138521781696,0.6368086147821831
79,17,14,30,0.5,10,count,0.8389623103279491,0.1728395061728395,0.24686868686868682,0.20271762649079986,0.08321096426823299,0.9167890357317671,0.46989720998531576,0.6790123456790124,0.14100185937446616,0.23351244350234,0.5726872246696035,0.42731277533039647,0.6480665687714146,0.5473251028806584,0.17924506333830106,0.2700194125632569,0.36319138521781696,0.6368086147821831
80,17,14,30,0.5,10,max,0.8365149290259423,0.1522633744855967,0.22331604389400517,0.1801716489216489,0.08076358296622614,0.9192364170337739,0.6480665687714146,0.551440329218107,0.18008291316909006,0.27146512541253415,0.3641703377386197,0.6358296622613803,0.6480665687714146,0.5473251028806584,0.17924506333830106,0.2700194125632569,0.36319138521781696,0.6368086147821831
81,17,14,30,0.5,14,avg,0.8370044052863436,0.1646090534979424,0.2308429118773946,0.19164549675416043,0.08321096426823299,0.9167890357317671,0.6475770925110133,0.551440329218107,0.17984702012190046,0.2711978520975992,0.364659813999021,0.635340186000979,0.6480665687714146,0.5473251028806584,0.17924506333830106,0.2700194125632569,0.36319138521781696,0.6368086147821831
